recordID,LinkToVubis
10074,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10074&Language=eng
10075,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10075&Language=eng
10076,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10076&Language=eng
10077,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10077&Language=eng
10078,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10078&Language=eng
10079,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10079&Language=eng
1008,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:1008&Language=eng
10080,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10080&Language=eng
10081,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10081&Language=eng
10082,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10082&Language=eng
10083,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10083&Language=eng
10084,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10084&Language=eng
10085,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10085&Language=eng
10086,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10086&Language=eng
10087,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10087&Language=eng
10088,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10088&Language=eng
10089,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10089&Language=eng
10090,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10090&Language=eng
10092,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10092&Language=eng
10093,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10093&Language=eng
10094,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10094&Language=eng
10095,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10095&Language=eng
10096,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10096&Language=eng
10097,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10097&Language=eng
10098,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10098&Language=eng
1010,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:1010&Language=eng
10101,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10101&Language=eng
10102,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10102&Language=eng
10103,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10103&Language=eng
10104,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10104&Language=eng
10105,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10105&Language=eng
10106,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10106&Language=eng
10107,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10107&Language=eng
10108,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10108&Language=eng
10109,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10109&Language=eng
1011,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:1011&Language=eng
10110,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10110&Language=eng
10111,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10111&Language=eng
10112,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10112&Language=eng
10113,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10113&Language=eng
10114,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10114&Language=eng
10115,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10115&Language=eng
10116,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10116&Language=eng
10117,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10117&Language=eng
10118,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10118&Language=eng
10119,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10119&Language=eng
1012,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:1012&Language=eng
10120,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10120&Language=eng
10121,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10121&Language=eng
10122,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10122&Language=eng
10123,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10123&Language=eng
10124,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10124&Language=eng
10125,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10125&Language=eng
10126,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10126&Language=eng
10127,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10127&Language=eng
10128,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10128&Language=eng
10129,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10129&Language=eng
1013,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:1013&Language=eng
10130,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10130&Language=eng
10131,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10131&Language=eng
10132,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10132&Language=eng
10133,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10133&Language=eng
10134,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10134&Language=eng
10135,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10135&Language=eng
10136,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10136&Language=eng
10137,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10137&Language=eng
10138,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10138&Language=eng
10139,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10139&Language=eng
1014,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:1014&Language=eng
10140,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10140&Language=eng
10141,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10141&Language=eng
10142,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10142&Language=eng
10143,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10143&Language=eng
10144,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10144&Language=eng
10145,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10145&Language=eng
10146,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10146&Language=eng
10147,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10147&Language=eng
1015,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:1015&Language=eng
10153,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10153&Language=eng
10154,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10154&Language=eng
10155,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10155&Language=eng
10156,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10156&Language=eng
10157,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10157&Language=eng
10158,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10158&Language=eng
10159,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10159&Language=eng
1016,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:1016&Language=eng
10161,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10161&Language=eng
10162,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10162&Language=eng
10163,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10163&Language=eng
10165,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10165&Language=eng
10166,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10166&Language=eng
10167,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10167&Language=eng
10168,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10168&Language=eng
10169,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10169&Language=eng
1017,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:1017&Language=eng
10170,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10170&Language=eng
10172,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10172&Language=eng
10173,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10173&Language=eng
10177,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10177&Language=eng
10178,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10178&Language=eng
10179,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10179&Language=eng
1018,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:1018&Language=eng
10180,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10180&Language=eng
10182,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10182&Language=eng
10183,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10183&Language=eng
10184,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10184&Language=eng
10185,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10185&Language=eng
10186,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10186&Language=eng
10187,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10187&Language=eng
10188,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10188&Language=eng
10189,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10189&Language=eng
1019,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:1019&Language=eng
10190,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10190&Language=eng
10191,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10191&Language=eng
10192,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10192&Language=eng
10194,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10194&Language=eng
10195,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10195&Language=eng
10196,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10196&Language=eng
10197,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10197&Language=eng
10198,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10198&Language=eng
10199,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10199&Language=eng
102,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:102&Language=eng
1020,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:1020&Language=eng
10200,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10200&Language=eng
10201,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10201&Language=eng
10202,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10202&Language=eng
10203,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10203&Language=eng
10204,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10204&Language=eng
10205,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10205&Language=eng
