"inventarisnummer","titel","kunstenaar","tag_1","tag_2","tag_3","tag_4","tag_5","tag_6","tag_7","tag_8","tag_9","tag_10"
"10076 / 14","Ijzer","Achille Van Sassenbrouck","{""tag"": ""ruine"", ""score"": 0.8319}","{""tag"": ""abstract"", ""score"": 0.8301}","{""tag"": ""Gustave Courbet"", ""score"": 0.8239}","{""tag"": ""landschap op achtergrond / portret van een onbekende"", ""score"": 0.8209}","{""tag"": ""Depaysage"", ""score"": 0.8202}","{""tag"": ""water"", ""score"": 0.8194}","{""tag"": ""Vieil Heidelberg"", ""score"": 0.8183}","{""tag"": ""scene"", ""score"": 0.8172}","{""tag"": ""aquaduct"", ""score"": 0.8169}","{""tag"": ""rivier"", ""score"": 0.8163}"
"10076 / 15","Bruggetje te Nieuwpoort","Achille Van Sassenbrouck","{""tag"": ""abstract"", ""score"": 0.8261}","{""tag"": ""Le Havre"", ""score"": 0.8228}","{""tag"": ""ruine"", ""score"": 0.8218}","{""tag"": ""rust"", ""score"": 0.8185}","{""tag"": ""pier"", ""score"": 0.8164}","{""tag"": ""Depaysage"", ""score"": 0.8138}","{""tag"": ""water"", ""score"": 0.8137}","{""tag"": ""the Strand"", ""score"": 0.8132}","{""tag"": ""Gustave Courbet"", ""score"": 0.8111}","{""tag"": ""Visserskaai"", ""score"": 0.811}"
"12527","Waterloo forever!","Koen Theys","{""tag"": ""militaire scene"", ""score"": 0.8748}","{""tag"": ""soldat"", ""score"": 0.8638}","{""tag"": ""infanterie"", ""score"": 0.8443}","{""tag"": ""cavalerie"", ""score"": 0.8368}","{""tag"": ""soldaat"", ""score"": 0.8333}","{""tag"": ""artillerie"", ""score"": 0.8327}","{""tag"": ""troepenbeweging"", ""score"": 0.8318}","{""tag"": ""militaire chef"", ""score"": 0.8316}","{""tag"": ""militair bevelhebber"", ""score"": 0.8305}","{""tag"": ""Jacques-Louis David"", ""score"": 0.83}"
"6604","Landschap","Albert Servaes","{""tag"": ""winter"", ""score"": 0.855}","{""tag"": ""abstract"", ""score"": 0.8362}","{""tag"": ""sneeuw"", ""score"": 0.8228}","{""tag"": ""stilte"", ""score"": 0.8194}","{""tag"": ""Gustave Courbet"", ""score"": 0.8193}","{""tag"": ""Jan Brueghel I"", ""score"": 0.8191}","{""tag"": ""gletsjer"", ""score"": 0.8161}","{""tag"": ""Norrlandsgatan"", ""score"": 0.815}","{""tag"": ""scene"", ""score"": 0.815}","{""tag"": ""landschap"", ""score"": 0.8144}"
"11583","Het plukken van paddestoelen (Nel, Rik en Stans)","Rik Wouters","{""tag"": ""arbeider"", ""score"": 0.8304}","{""tag"": ""landbouwer"", ""score"": 0.8279}","{""tag"": ""tuinman"", ""score"": 0.8258}","{""tag"": ""abstract"", ""score"": 0.8248}","{""tag"": ""arbeid"", ""score"": 0.8228}","{""tag"": ""Jan Brueghel I"", ""score"": 0.8173}","{""tag"": ""tractor"", ""score"": 0.8172}","{""tag"": ""Gustave Courbet"", ""score"": 0.8165}","{""tag"": ""landbouw"", ""score"": 0.8155}","{""tag"": ""laboratorium"", ""score"": 0.8151}"
"4753","Voorzijde : De heilige Alexis ; keerzijde : De heilige Mattheus","Brusselse anonieme meester","{""tag"": ""ladder"", ""score"": 0.8293}","{""tag"": ""Mona Lisa"", ""score"": 0.8239}","{""tag"": ""Heilige Geest"", ""score"": 0.8235}","{""tag"": ""Saint-Jean-de-Luz"", ""score"": 0.8226}","{""tag"": ""heilige Christoffel"", ""score"": 0.8219}","{""tag"": ""abstract"", ""score"": 0.8215}","{""tag"": ""Geseling van Christus"", ""score"": 0.8207}","{""tag"": ""Peter Paul Rubens"", ""score"": 0.8201}","{""tag"": ""altaar"", ""score"": 0.82}","{""tag"": ""heilige Geest"", ""score"": 0.8197}"
"6987","De Theems te Londen. November, 's middags","Emile Claus","{""tag"": ""rivier"", ""score"": 0.8358}","{""tag"": ""Waterloo Bridge"", ""score"": 0.8348}","{""tag"": ""Seine"", ""score"": 0.8269}","{""tag"": ""water"", ""score"": 0.824}","{""tag"": ""Pont des Arts"", ""score"": 0.8195}","{""tag"": ""landschap op achtergrond / portret van een onbekende"", ""score"": 0.8186}","{""tag"": ""watersport"", ""score"": 0.8186}","{""tag"": ""abstract"", ""score"": 0.8185}","{""tag"": ""Gustave Courbet"", ""score"": 0.8177}","{""tag"": ""aquaduct"", ""score"": 0.8174}"
"6999","De azalea's te Kew","Emile Claus","{""tag"": ""dahlia"", ""score"": 0.84}","{""tag"": ""in bloei"", ""score"": 0.8386}","{""tag"": ""Flora Reyntiens"", ""score"": 0.8336}","{""tag"": ""Flora"", ""score"": 0.8328}","{""tag"": ""tuin"", ""score"": 0.832}","{""tag"": ""boeket"", ""score"": 0.831}","{""tag"": ""azalea"", ""score"": 0.8291}","{""tag"": ""tuinvaas"", ""score"": 0.8286}","{""tag"": ""geranium"", ""score"": 0.8274}","{""tag"": ""bloem"", ""score"": 0.8269}"
"2007 / 4","De triomf van Christus IV","Antoine Wiertz","{""tag"": ""abstract"", ""score"": 0.8313}","{""tag"": ""licht"", ""score"": 0.8299}","{""tag"": ""lamp"", ""score"": 0.8282}","{""tag"": ""chaos"", ""score"": 0.8268}","{""tag"": ""Metamorphosen"", ""score"": 0.8238}","{""tag"": ""verluchting"", ""score"": 0.8237}","{""tag"": ""kubisme"", ""score"": 0.822}","{""tag"": ""lichtstralen"", ""score"": 0.8214}","{""tag"": ""Lucifer"", ""score"": 0.8199}","{""tag"": ""olielamp"", ""score"": 0.8191}"
"9611","De aftocht","Felix De Boeck","{""tag"": ""militaire scene"", ""score"": 0.8278}","{""tag"": ""soldat"", ""score"": 0.8242}","{""tag"": ""abstract"", ""score"": 0.8231}","{""tag"": ""Weissenhofsiedlung"", ""score"": 0.8195}","{""tag"": ""landschap op achtergrond / portret van een onbekende"", ""score"": 0.8186}","{""tag"": ""villa"", ""score"": 0.8185}","{""tag"": ""Gustave Courbet"", ""score"": 0.8182}","{""tag"": ""Vieil Heidelberg"", ""score"": 0.8161}","{""tag"": ""Camille Pissarro"", ""score"": 0.8158}","{""tag"": ""dorpsgezicht"", ""score"": 0.8152}"
"7818","De vrouw met de uil","Charles Doudelet","{""tag"": ""lamp"", ""score"": 0.834}","{""tag"": ""olielamp"", ""score"": 0.8321}","{""tag"": ""Mona Lisa"", ""score"": 0.823}","{""tag"": ""Wolf"", ""score"": 0.8227}","{""tag"": ""abstract"", ""score"": 0.8223}","{""tag"": ""wolf"", ""score"": 0.8213}","{""tag"": ""Lenore"", ""score"": 0.82}","{""tag"": ""wolk"", ""score"": 0.8186}","{""tag"": ""Laocoon"", ""score"": 0.8162}","{""tag"": ""femme"", ""score"": 0.8159}"
"1330","Du Quesnoy-Van der Tommentriptiek","Meester van de Magdalenalegende","{""tag"": ""Gabriel"", ""score"": 0.8591}","{""tag"": ""Maria"", ""score"": 0.8466}","{""tag"": ""heilige Gabriel"", ""score"": 0.8457}","{""tag"": ""Maria Magdalena"", ""score"": 0.8436}","{""tag"": ""Pieta"", ""score"": 0.8412}","{""tag"": ""Maria Gamel"", ""score"": 0.8411}","{""tag"": ""triangel"", ""score"": 0.8398}","{""tag"": ""heilige Maria-Magdalena"", ""score"": 0.8388}","{""tag"": ""fresco"", ""score"": 0.8373}","{""tag"": ""Aartsengel"", ""score"": 0.837}"
"4060 / 3940","De heilige Johannes de Evangelist in de kokende olie","Frans I Floris","{""tag"": ""Pieta"", ""score"": 0.8405}","{""tag"": ""abstract"", ""score"": 0.8387}","{""tag"": ""Christus"", ""score"": 0.8346}","{""tag"": ""Verrijzenis van Christus"", ""score"": 0.8343}","{""tag"": ""fresco"", ""score"": 0.8342}","{""tag"": ""scene"", ""score"": 0.8339}","{""tag"": ""Jezus"", ""score"": 0.8325}","{""tag"": ""figure"", ""score"": 0.8308}","{""tag"": ""Mona Lisa"", ""score"": 0.8306}","{""tag"": ""Geseling van Christus"", ""score"": 0.8306}"
"3449","Mannenportret","Henry Raeburn","{""tag"": ""portrait"", ""score"": 0.8468}","{""tag"": ""Portret"", ""score"": 0.837}","{""tag"": ""portret"", ""score"": 0.8355}","{""tag"": ""man"", ""score"": 0.8355}","{""tag"": ""Jacques-Louis David"", ""score"": 0.8315}","{""tag"": ""homme"", ""score"": 0.8312}","{""tag"": ""portret van een onbekende"", ""score"": 0.8303}","{""tag"": ""/ portret van een onbekende"", ""score"": 0.8279}","{""tag"": ""landschap op achtergrond / portret van een onbekende"", ""score"": 0.8271}","{""tag"": ""personage"", ""score"": 0.8256}"
"6910 / 18","Merrie en veulen","Hubert Malfait","{""tag"": ""paard"", ""score"": 0.8365}","{""tag"": ""cheval"", ""score"": 0.8334}","{""tag"": ""houten paard"", ""score"": 0.8296}","{""tag"": ""abstract"", ""score"": 0.826}","{""tag"": ""paardenstaart"", ""score"": 0.8233}","{""tag"": ""herderin"", ""score"": 0.8165}","{""tag"": ""Pegasus"", ""score"": 0.8161}","{""tag"": ""paardemolen"", ""score"": 0.8156}","{""tag"": ""faun"", ""score"": 0.8155}","{""tag"": ""landschap op achtergrond / portret van een onbekende"", ""score"": 0.814}"
"10813","Reizigers steken een bergrivier over","Zuid-Nederlandse school ca. 1600","{""tag"": ""abstract"", ""score"": 0.8385}","{""tag"": ""scene"", ""score"": 0.8373}","{""tag"": ""landschap op achtergrond / portret van een onbekende"", ""score"": 0.8343}","{""tag"": ""landschap"", ""score"": 0.8315}","{""tag"": ""stilte"", ""score"": 0.8304}","{""tag"": ""landschap op achtergrond"", ""score"": 0.8295}","{""tag"": ""landschap op de achtergrond"", ""score"": 0.8294}","{""tag"": ""fresco"", ""score"": 0.8293}","{""tag"": ""arts"", ""score"": 0.8292}","{""tag"": ""vellen van bomen"", ""score"": 0.8275}"
"3524","In Holland, maneschijn","Alexandre Marcette","{""tag"": ""abstract"", ""score"": 0.8301}","{""tag"": ""Le Havre"", ""score"": 0.8292}","{""tag"": ""L'isolement"", ""score"": 0.8276}","{""tag"": ""lamp"", ""score"": 0.8252}","{""tag"": ""Oceanie"", ""score"": 0.8248}","{""tag"": ""licht"", ""score"": 0.8245}","{""tag"": ""zeilboot"", ""score"": 0.8236}","{""tag"": ""zeilschip"", ""score"": 0.8222}","{""tag"": ""Mona Lisa"", ""score"": 0.8222}","{""tag"": ""water"", ""score"": 0.8202}"
"9616","Dans","Felix De Boeck","{""tag"": ""abstract"", ""score"": 0.8504}","{""tag"": ""danser"", ""score"": 0.8325}","{""tag"": ""Art libre"", ""score"": 0.8246}","{""tag"": ""Auguste Danse"", ""score"": 0.8244}","{""tag"": ""arts"", ""score"": 0.8217}","{""tag"": ""Mona Lisa"", ""score"": 0.8214}","{""tag"": ""Diego Velazquez"", ""score"": 0.82}","{""tag"": ""Musee Carnavalet"", ""score"": 0.819}","{""tag"": ""Flamenco"", ""score"": 0.8182}","{""tag"": ""femme"", ""score"": 0.8171}"
"8636","Allegorische figuur","Anto Carte","{""tag"": ""Flora Reyntiens"", ""score"": 0.8359}","{""tag"": ""femme"", ""score"": 0.8324}","{""tag"": ""Flora"", ""score"": 0.8321}","{""tag"": ""abstract"", ""score"": 0.8307}","{""tag"": ""tuinvaas"", ""score"": 0.8285}","{""tag"": ""boeket"", ""score"": 0.8274}","{""tag"": ""vrouw"", ""score"": 0.825}","{""tag"": ""dahlia"", ""score"": 0.8245}","{""tag"": ""orchidee"", ""score"": 0.8239}","{""tag"": ""Vrouw der Weeen"", ""score"": 0.8203}"
"2003 / 6","De opstand van de Hel VI","Antoine Wiertz","{""tag"": ""chaos"", ""score"": 0.8399}","{""tag"": ""abstract"", ""score"": 0.8358}","{""tag"": ""angst"", ""score"": 0.8241}","{""tag"": ""Metamorphosen"", ""score"": 0.8222}","{""tag"": ""Metamorfosen"", ""score"": 0.8187}","{""tag"": ""scene"", ""score"": 0.8176}","{""tag"": ""strijd"", ""score"": 0.8159}","{""tag"": ""kubisme"", ""score"": 0.8154}","{""tag"": ""groteske"", ""score"": 0.8144}","{""tag"": ""kunst"", ""score"": 0.8131}"
"9713","Dodenmasker","Felix De Boeck","{""tag"": ""hand"", ""score"": 0.8487}","{""tag"": ""Menselijke passies"", ""score"": 0.8216}","{""tag"": ""handschoen"", ""score"": 0.8195}","{""tag"": ""Joachim Lelewel"", ""score"": 0.8171}","{""tag"": ""Mona Lisa"", ""score"": 0.8149}","{""tag"": ""abstract"", ""score"": 0.8145}","{""tag"": ""leunend op de ellebogen"", ""score"": 0.8133}","{""tag"": ""omhelzing"", ""score"": 0.813}","{""tag"": ""handgebaar"", ""score"": 0.8129}","{""tag"": ""op handen en voeten"", ""score"": 0.8129}"
"4338","Portret van kunstschilder Henri Evenepoel","Charles Edmond Theodore Milcendeau","{""tag"": ""piano"", ""score"": 0.859}","{""tag"": ""Beethoven"", ""score"": 0.822}","{""tag"": ""musicus"", ""score"": 0.8212}","{""tag"": ""spinet"", ""score"": 0.8165}","{""tag"": ""cello"", ""score"": 0.8161}","{""tag"": ""muziekintrument"", ""score"": 0.816}","{""tag"": ""violist"", ""score"": 0.8153}","{""tag"": ""abstract"", ""score"": 0.815}","{""tag"": ""partituur"", ""score"": 0.8117}","{""tag"": ""Mona Lisa"", ""score"": 0.8111}"
"6277","Portret van Jacques della Faille genaamd Le Vieil, heer van Dovie, Bucquerie en Westbroeck","Cornelis Jacobsz. de Zeeu(w)","{""tag"": ""portrait"", ""score"": 0.8413}","{""tag"": ""Renaissance"", ""score"": 0.8409}","{""tag"": ""renaissance"", ""score"": 0.8401}","{""tag"": ""Portret"", ""score"": 0.8334}","{""tag"": ""portret"", ""score"": 0.8322}","{""tag"": ""Duc de Richelieu"", ""score"": 0.8295}","{""tag"": ""Jacob Jordaens"", ""score"": 0.8288}","{""tag"": ""Gian Vincenzo Imperiale"", ""score"": 0.8285}","{""tag"": ""Leonardo da Vinci"", ""score"": 0.8282}","{""tag"": ""Rafael"", ""score"": 0.8282}"
"4941","Vogels in een landschap","Roelandt Savery","{""tag"": ""papegaai"", ""score"": 0.8317}","{""tag"": ""vogel"", ""score"": 0.8282}","{""tag"": ""wild"", ""score"": 0.8271}","{""tag"": ""struisvogel"", ""score"": 0.8263}","{""tag"": ""abstract"", ""score"": 0.8263}","{""tag"": ""rooster"", ""score"": 0.8229}","{""tag"": ""fresco"", ""score"": 0.8227}","{""tag"": ""arts"", ""score"": 0.8217}","{""tag"": ""animal"", ""score"": 0.8217}","{""tag"": ""Barbizon"", ""score"": 0.821}"
"11578","De goal-keeper","Rik Wouters","{""tag"": ""jeu de boules"", ""score"": 0.8329}","{""tag"": ""sport"", ""score"": 0.8324}","{""tag"": ""baseball"", ""score"": 0.8282}","{""tag"": ""abstract"", ""score"": 0.825}","{""tag"": ""tennis"", ""score"": 0.8235}","{""tag"": ""ballon"", ""score"": 0.8226}","{""tag"": ""Spectator"", ""score"": 0.8222}","{""tag"": ""Exposition internationale des Sports"", ""score"": 0.8191}","{""tag"": ""groepsportret"", ""score"": 0.8182}","{""tag"": ""artisjok"", ""score"": 0.8167}"
"3789","Portret van mevrouw Jeanne-Clotilde-Charlotte Pauwels-Sainctelette","Emile-Auguste Carolus-Duran","{""tag"": ""femme"", ""score"": 0.8404}","{""tag"": ""\""Etudes passionnelles de decadence\"""", ""score"": 0.8301}","{""tag"": ""Madame Recamier"", ""score"": 0.8251}","{""tag"": ""salon"", ""score"": 0.8211}","{""tag"": ""Manette Salomon"", ""score"": 0.8209}","{""tag"": ""Mona Lisa"", ""score"": 0.8208}","{""tag"": ""Claude Renoir"", ""score"": 0.8208}","{""tag"": ""Musee Carnavalet"", ""score"": 0.8193}","{""tag"": ""sofa"", ""score"": 0.8183}","{""tag"": ""Gustave Courbet"", ""score"": 0.8176}"
"6517","Moederschap","Auguste Renoir","{""tag"": ""moeder"", ""score"": 0.8451}","{""tag"": ""moederliefde"", ""score"": 0.8431}","{""tag"": ""Mommen"", ""score"": 0.8373}","{""tag"": ""enfant"", ""score"": 0.8295}","{""tag"": ""abstract"", ""score"": 0.8243}","{""tag"": ""Maagd met het kind"", ""score"": 0.8224}","{""tag"": ""Maria-Elisabeth"", ""score"": 0.8215}","{""tag"": ""Maagd met het Kind"", ""score"": 0.8205}","{""tag"": ""de Maagd met het Kind"", ""score"": 0.8199}","{""tag"": ""omhelzing"", ""score"": 0.8195}"
"10687","Reeks van vijf kunstenaarsateliers (Barnett Newman, Robert Ryman, Piet Mondriaan, Ad Reinhardt, Josef Albers)","Philippe De Gobert","{""tag"": ""abstract"", ""score"": 0.8441}","{""tag"": ""atelier"", ""score"": 0.8232}","{""tag"": ""interieur"", ""score"": 0.821}","{""tag"": ""kunstgalerij"", ""score"": 0.8209}","{""tag"": ""arts"", ""score"": 0.8189}","{""tag"": ""sofa"", ""score"": 0.8188}","{""tag"": ""kunstenaarsatelier"", ""score"": 0.8186}","{""tag"": ""decor"", ""score"": 0.8185}","{""tag"": ""galerij"", ""score"": 0.818}","{""tag"": ""scene"", ""score"": 0.8175}"
"9627","Masker (cirkels)","Felix De Boeck","{""tag"": ""abstract"", ""score"": 0.8569}","{""tag"": ""kubisme"", ""score"": 0.8306}","{""tag"": ""portrait"", ""score"": 0.8293}","{""tag"": ""Musee Carnavalet"", ""score"": 0.8278}","{""tag"": ""facade"", ""score"": 0.8255}","{""tag"": ""arts"", ""score"": 0.8254}","{""tag"": ""Mona Lisa"", ""score"": 0.8246}","{""tag"": ""Art universel"", ""score"": 0.8221}","{""tag"": ""figure"", ""score"": 0.8221}","{""tag"": ""Art libre"", ""score"": 0.8215}"
"10000 / 99","De schipbreukeling","Constantin Meunier","{""tag"": ""Hercules"", ""score"": 0.8208}","{""tag"": ""statue"", ""score"": 0.8207}","{""tag"": ""figure"", ""score"": 0.817}","{""tag"": ""torso"", ""score"": 0.817}","{""tag"": ""soldat"", ""score"": 0.8162}","{""tag"": ""abstract"", ""score"": 0.8155}","{""tag"": ""militaire scene"", ""score"": 0.8137}","{""tag"": ""armure"", ""score"": 0.8135}","{""tag"": ""Herakles"", ""score"": 0.8124}","{""tag"": ""man"", ""score"": 0.8124}"
"12510","Studie voor ""De verstoten rijke""","Francois-Joseph Navez","{""tag"": ""Jezus"", ""score"": 0.8371}","{""tag"": ""religieuze scene"", ""score"": 0.835}","{""tag"": ""Christus"", ""score"": 0.834}","{""tag"": ""fresco"", ""score"": 0.8339}","{""tag"": ""Geseling van Christus"", ""score"": 0.8324}","{""tag"": ""scene"", ""score"": 0.8324}","{""tag"": ""Pieta"", ""score"": 0.8324}","{""tag"": ""Mona Lisa"", ""score"": 0.8306}","{""tag"": ""arts"", ""score"": 0.8288}","{""tag"": ""abstract"", ""score"": 0.827}"
"1300","Het beleg van Pavia in 1525","Anoniem (Zuid-Nederlandse school)","{""tag"": ""militaire scene"", ""score"": 0.8707}","{""tag"": ""soldat"", ""score"": 0.8488}","{""tag"": ""cavalerie"", ""score"": 0.8466}","{""tag"": ""infanterie"", ""score"": 0.8367}","{""tag"": ""militair bevelhebber"", ""score"": 0.8342}","{""tag"": ""historische scene"", ""score"": 0.8324}","{""tag"": ""strijd"", ""score"": 0.8305}","{""tag"": ""militaire chef"", ""score"": 0.8304}","{""tag"": ""militairbevelhebber"", ""score"": 0.8301}","{""tag"": ""oorlog"", ""score"": 0.8297}"
"3941","De tuinen onder de sneeuw","Gustave-Max Stevens","{""tag"": ""winter"", ""score"": 0.8638}","{""tag"": ""sneeuw"", ""score"": 0.8303}","{""tag"": ""abstract"", ""score"": 0.8295}","{""tag"": ""vellen van bomen"", ""score"": 0.8181}","{""tag"": ""sneeuwklokje"", ""score"": 0.8177}","{""tag"": ""landschap op achtergrond / portret van een onbekende"", ""score"": 0.817}","{""tag"": ""stilte"", ""score"": 0.8147}","{""tag"": ""scene"", ""score"": 0.8144}","{""tag"": ""december"", ""score"": 0.8134}","{""tag"": ""landschap"", ""score"": 0.813}"
"4012","Winterochtend","Isidore Meyers","{""tag"": ""abstract"", ""score"": 0.8217}","{""tag"": ""marine"", ""score"": 0.8197}","{""tag"": ""Oceanie"", ""score"": 0.8192}","{""tag"": ""landschap op achtergrond / portret van een onbekende"", ""score"": 0.8186}","{""tag"": ""watersport"", ""score"": 0.8169}","{""tag"": ""Gustave Courbet"", ""score"": 0.8153}","{""tag"": ""zeilboot"", ""score"": 0.8151}","{""tag"": ""Visserskaai"", ""score"": 0.8138}","{""tag"": ""Depaysage"", ""score"": 0.8136}","{""tag"": ""zeilschip"", ""score"": 0.8132}"
"7120","Hulde aan Vermeer van Delft","Gustave Singier","{""tag"": ""abstract"", ""score"": 0.8538}","{""tag"": ""kosmos"", ""score"": 0.8275}","{""tag"": ""anemoon"", ""score"": 0.8241}","{""tag"": ""silhouet"", ""score"": 0.8225}","{""tag"": ""kubisme"", ""score"": 0.821}","{""tag"": ""Mona Lisa"", ""score"": 0.8206}","{""tag"": ""scene"", ""score"": 0.8193}","{""tag"": ""hemel"", ""score"": 0.8181}","{""tag"": ""astronomie"", ""score"": 0.818}","{""tag"": ""Metamorphosen"", ""score"": 0.8176}"
"6827","Zonsondergang over de Theems, Londen","Emile Claus","{""tag"": ""rivier"", ""score"": 0.8328}","{""tag"": ""landschap op achtergrond / portret van een onbekende"", ""score"": 0.8291}","{""tag"": ""Camille Pissarro"", ""score"": 0.8266}","{""tag"": ""abstract"", ""score"": 0.824}","{""tag"": ""Barbizon"", ""score"": 0.8226}","{""tag"": ""Depaysage"", ""score"": 0.822}","{""tag"": ""Gustave Courbet"", ""score"": 0.8218}","{""tag"": ""landschap op achtergrond"", ""score"": 0.8209}","{""tag"": ""landschap op de achtergrond"", ""score"": 0.8198}","{""tag"": ""Antoine Watteau"", ""score"": 0.8191}"
"2005 / 4","Een grote der aarde IV","Antoine Wiertz","{""tag"": ""man"", ""score"": 0.8241}","{""tag"": ""strijd"", ""score"": 0.8218}","{""tag"": ""abstract"", ""score"": 0.8202}","{""tag"": ""arbeider"", ""score"": 0.8184}","{""tag"": ""Gustave Courbet"", ""score"": 0.8167}","{""tag"": ""chaos"", ""score"": 0.8158}","{""tag"": ""arbeid"", ""score"": 0.8141}","{""tag"": ""homme"", ""score"": 0.8135}","{""tag"": ""Menselijke passies"", ""score"": 0.8128}","{""tag"": ""Metamorfosen"", ""score"": 0.8127}"
"7964","Portret van Edmond Van Dooren","Jozef Peeters","{""tag"": ""portrait"", ""score"": 0.8426}","{""tag"": ""abstract"", ""score"": 0.8371}","{""tag"": ""Portret"", ""score"": 0.8365}","{""tag"": ""portret"", ""score"": 0.8346}","{""tag"": ""portret van een onbekende"", ""score"": 0.8336}","{""tag"": ""/ portret van een onbekende"", ""score"": 0.8324}","{""tag"": ""landschap op achtergrond / portret van een onbekende"", ""score"": 0.8267}","{""tag"": ""zelfportret"", ""score"": 0.8266}","{""tag"": ""/ portret"", ""score"": 0.8244}","{""tag"": ""man"", ""score"": 0.8226}"
"9250","Vrouw aan haar opschik - Verso : Staande vrouw met lange jurk en liggende vrouw (schetsen)","Rik Wouters","{""tag"": ""abstract"", ""score"": 0.848}","{""tag"": ""kubisme"", ""score"": 0.8222}","{""tag"": ""Mona Lisa"", ""score"": 0.8172}","{""tag"": ""Art libre"", ""score"": 0.8154}","{""tag"": ""arts"", ""score"": 0.8153}","{""tag"": ""Rene Magritte"", ""score"": 0.8135}","{""tag"": ""Metamorphosen"", ""score"": 0.8134}","{""tag"": ""Depaysage"", ""score"": 0.8131}","{""tag"": ""Musee Carnavalet"", ""score"": 0.8126}","{""tag"": ""atelier"", ""score"": 0.8124}"
"7256","In het Josaphat park (schets, zittende man)","Jean Milo","{""tag"": ""abstract"", ""score"": 0.8437}","{""tag"": ""kubisme"", ""score"": 0.8325}","{""tag"": ""portrait"", ""score"": 0.8316}","{""tag"": ""atelier"", ""score"": 0.8295}","{""tag"": ""Musee Carnavalet"", ""score"": 0.8277}","{""tag"": ""arts"", ""score"": 0.8265}","{""tag"": ""Mona Lisa"", ""score"": 0.8257}","{""tag"": ""Portret"", ""score"": 0.8237}","{""tag"": ""Societe Nationale des Beaux-Arts"", ""score"": 0.8237}","{""tag"": ""Rene Magritte"", ""score"": 0.8226}"
"691","Rechterluik van een retabel. Voorzijde : Twee geknielde schenkers met de heiligen Odilo van Cluny en Karel de Grote. Keerzijde : De heilige Joris overmeestert de draak.","Anoniem","{""tag"": ""draak"", ""score"": 0.8529}","{""tag"": ""cavalerie"", ""score"": 0.8366}","{""tag"": ""Lancelot van Ursele"", ""score"": 0.8271}","{""tag"": ""cheval"", ""score"": 0.8268}","{""tag"": ""Pegasus"", ""score"": 0.8264}","{""tag"": ""paard"", ""score"": 0.8222}","{""tag"": ""schilderkunst"", ""score"": 0.822}","{""tag"": ""stierengevecht"", ""score"": 0.8213}","{""tag"": ""\nuiterlijke kenmerken zijn: Harnas en vleugels, Zwaard of lans (soms ook schild of banier),\nVoeten op draak/duivel (verslagen tegenstander), Weegschaal met zielen (Laatste Oordeel)\nAureool, soms inscriptie “Quis ut Deus?”\n"", ""score"": 0.8208}","{""tag"": ""George"", ""score"": 0.8201}"
"7195","Zittend naakt","Paul Maas","{""tag"": ""abstract"", ""score"": 0.8385}","{""tag"": ""kubisme"", ""score"": 0.8227}","{""tag"": ""Rene Magritte"", ""score"": 0.8226}","{""tag"": ""Georgette Magritte"", ""score"": 0.8198}","{""tag"": ""figure"", ""score"": 0.8181}","{""tag"": ""Art universel"", ""score"": 0.8173}","{""tag"": ""L'isolement"", ""score"": 0.8172}","{""tag"": ""sofa"", ""score"": 0.8168}","{""tag"": ""man"", ""score"": 0.8166}","{""tag"": ""atelier"", ""score"": 0.8163}"
"10000 / 144","Emile Verhaeren","Constantin Meunier","{""tag"": ""buste"", ""score"": 0.8542}","{""tag"": ""portrait"", ""score"": 0.8328}","{""tag"": ""man"", ""score"": 0.8314}","{""tag"": ""oude man"", ""score"": 0.8308}","{""tag"": ""Portret"", ""score"": 0.8261}","{""tag"": ""portret"", ""score"": 0.8245}","{""tag"": ""abstract"", ""score"": 0.8221}","{""tag"": ""arts"", ""score"": 0.8219}","{""tag"": ""torso"", ""score"": 0.8208}","{""tag"": ""Gustave Courbet"", ""score"": 0.8206}"
"142","Portret van Johan-Maurits van Nassau-Siegen 1604-1679 met een zwarte page","Pieter Nason","{""tag"": ""portrait"", ""score"": 0.84}","{""tag"": ""Diego Velazquez"", ""score"": 0.835}","{""tag"": ""Portret"", ""score"": 0.8328}","{""tag"": ""portret"", ""score"": 0.8321}","{""tag"": ""boeket"", ""score"": 0.8289}","{""tag"": ""Frans Floris"", ""score"": 0.8287}","{""tag"": ""landschap op achtergrond / portret van een onbekende"", ""score"": 0.8262}","{""tag"": ""portret van een onbekende"", ""score"": 0.826}","{""tag"": ""Jacques-Louis David"", ""score"": 0.8258}","{""tag"": ""Diego Velasquez"", ""score"": 0.8251}"
"7338","Mechanische elementen","Fernand Leger","{""tag"": ""abstract"", ""score"": 0.8546}","{""tag"": ""kubisme"", ""score"": 0.8269}","{""tag"": ""geometrie"", ""score"": 0.8233}","{""tag"": ""arts"", ""score"": 0.8193}","{""tag"": ""Art libre"", ""score"": 0.8156}","{""tag"": ""scene"", ""score"": 0.8132}","{""tag"": ""kunst"", ""score"": 0.8128}","{""tag"": ""geometrisch"", ""score"": 0.8125}","{""tag"": ""atelier"", ""score"": 0.812}","{""tag"": ""Societe Libre des Beaux-Arts"", ""score"": 0.8109}"
