"inventarisnummer","titel","kunstenaar","tag_1","tag_2","tag_3","tag_4","tag_5","tag_6","tag_7","tag_8","tag_9","tag_10"
"3230","De collega's","Pierre Oyens","{""tag"": ""abstract"", ""score"": 0.8387}","{""tag"": ""Mona Lisa"", ""score"": 0.8338}","{""tag"": ""atelier"", ""score"": 0.8295}","{""tag"": ""arts"", ""score"": 0.8269}","{""tag"": ""portrait"", ""score"": 0.8266}","{""tag"": ""penseel"", ""score"": 0.8241}","{""tag"": ""Musee Carnavalet"", ""score"": 0.8234}","{""tag"": ""kunstenaarsatelier"", ""score"": 0.8215}","{""tag"": ""\""Etudes passionnelles de decadence\"""", ""score"": 0.8214}","{""tag"": ""scene"", ""score"": 0.8208}"
"10735","Tridim S.P.","Victor Vasarely","{""tag"": ""abstract"", ""score"": 0.8455}","{""tag"": ""kubisme"", ""score"": 0.8191}","{""tag"": ""geometrie"", ""score"": 0.8177}","{""tag"": ""geometrische versiering"", ""score"": 0.8135}","{""tag"": ""arts"", ""score"": 0.8127}","{""tag"": ""geometrisch"", ""score"": 0.8121}","{""tag"": ""kunst"", ""score"": 0.8075}","{""tag"": ""schilderkunst"", ""score"": 0.8072}","{""tag"": ""Musee Carnavalet"", ""score"": 0.8065}","{""tag"": ""scene"", ""score"": 0.8063}"
"8385","Economisch en Sociaal Instituut voor de Middenstand. Belgische scheppende ambachtsbeoefenaars (Woluwe Shopping Center, 04.02 - 08.02.1973)","Sami Alouf ; Sophie Alouf","{""tag"": ""abstract"", ""score"": 0.8488}","{""tag"": ""Salon van Antwerpen"", ""score"": 0.8382}","{""tag"": ""Woluwe"", ""score"": 0.838}","{""tag"": ""kunstgalerij"", ""score"": 0.8299}","{""tag"": ""Paleis voor Schone Kunsten"", ""score"": 0.8268}","{""tag"": ""Grote Markt"", ""score"": 0.8256}","{""tag"": ""markt"", ""score"": 0.8248}","{""tag"": ""Antwerpen"", ""score"": 0.8247}","{""tag"": ""Vogezenplein"", ""score"": 0.8246}","{""tag"": ""Vilvoorde"", ""score"": 0.8244}"
"8375","Cap d'encre. Sept graveurs belges au musee d'Ixelles (Bruxelles, 04.12.1964 - 10.01.1965)","Luc Van Malderen","{""tag"": ""affiche"", ""score"": 0.8338}","{""tag"": ""Musee Carnavalet"", ""score"": 0.8327}","{""tag"": ""penseel"", ""score"": 0.8309}","{""tag"": ""abstract"", ""score"": 0.8305}","{""tag"": ""\""Etudes passionnelles de decadence\"""", ""score"": 0.828}","{""tag"": ""inkt"", ""score"": 0.8276}","{""tag"": ""Jean-Baptiste Carpeaux"", ""score"": 0.8233}","{""tag"": ""Art universel"", ""score"": 0.8232}","{""tag"": ""atelier"", ""score"": 0.8231}","{""tag"": ""cartouche"", ""score"": 0.8222}"
"1295","Vermoedelijk portret van Margareta van Parma (1522-1586), landvoogdes der Nederlanden (1559-1567)","Alonso Sanchez Coello","{""tag"": ""portrait"", ""score"": 0.8338}","{""tag"": ""Renaissance"", ""score"": 0.8333}","{""tag"": ""Maria de' Medici"", ""score"": 0.8327}","{""tag"": ""renaissance"", ""score"": 0.832}","{""tag"": ""Mona Lisa"", ""score"": 0.8272}","{""tag"": ""Isabella van Portugal"", ""score"": 0.8267}","{""tag"": ""vrouw"", ""score"": 0.826}","{""tag"": ""femme"", ""score"": 0.8256}","{""tag"": ""Isabella Clara Eugenia"", ""score"": 0.8251}","{""tag"": ""Portret"", ""score"": 0.8246}"
"12314","Distillerie Luxor, Bruxelles. Elixir. Sus. Advocaat. L'embarras du Choix","Rene Magritte","{""tag"": ""advocaat"", ""score"": 0.8443}","{""tag"": ""drinken"", ""score"": 0.8331}","{""tag"": ""Evian"", ""score"": 0.8324}","{""tag"": ""grote drinkvaas"", ""score"": 0.8323}","{""tag"": ""drinkschaal"", ""score"": 0.8254}","{""tag"": ""alcohol"", ""score"": 0.8251}","{""tag"": ""drank"", ""score"": 0.8251}","{""tag"": ""wijnglas"", ""score"": 0.8234}","{""tag"": ""drinkplaats"", ""score"": 0.8228}","{""tag"": ""Bacchus"", ""score"": 0.82}"
"6655","De nettenherstellers","Gustave Camus","{""tag"": ""abstract"", ""score"": 0.8124}","{""tag"": ""marine"", ""score"": 0.8111}","{""tag"": ""fresco"", ""score"": 0.8109}","{""tag"": ""Visserskaai"", ""score"": 0.8093}","{""tag"": ""net"", ""score"": 0.809}","{""tag"": ""watersport"", ""score"": 0.8082}","{""tag"": ""scene"", ""score"": 0.8077}","{""tag"": ""Mona Lisa"", ""score"": 0.8067}","{""tag"": ""Oceanie"", ""score"": 0.8057}","{""tag"": ""man"", ""score"": 0.8038}"
"4060 / 1500","Het kasteel Hernen - (Verso) Schets van een huis","Abraham de Haen (II)","{""tag"": ""kasteel"", ""score"": 0.8473}","{""tag"": ""architecture"", ""score"": 0.8323}","{""tag"": ""villa"", ""score"": 0.8288}","{""tag"": ""pergola"", ""score"": 0.8271}","{""tag"": ""Eiffeltoren"", ""score"": 0.8271}","{""tag"": ""villa Borghese"", ""score"": 0.8249}","{""tag"": ""Musee Carnavalet"", ""score"": 0.8243}","{""tag"": ""hertogelijk kasteel van Tervuren"", ""score"": 0.8238}","{""tag"": ""Ter Arkengesticht"", ""score"": 0.8235}","{""tag"": ""architectuuur"", ""score"": 0.8232}"
"3896","De bezetenen van Gerasa","Lucas van Valckenborch","{""tag"": ""water"", ""score"": 0.8217}","{""tag"": ""scene"", ""score"": 0.8191}","{""tag"": ""abstract"", ""score"": 0.8163}","{""tag"": ""Gustave Courbet"", ""score"": 0.8139}","{""tag"": ""watersport"", ""score"": 0.8128}","{""tag"": ""landschap op achtergrond / portret van een onbekende"", ""score"": 0.8127}","{""tag"": ""Oceanie"", ""score"": 0.8115}","{""tag"": ""marine"", ""score"": 0.8113}","{""tag"": ""rivierkreef"", ""score"": 0.8092}","{""tag"": ""fresco"", ""score"": 0.8092}"
"6908","Triptiek met het Laatste Avondmaal. Middenpaneel : Het Laatste Avondmaal ; linkerluik : Het afscheid van Jezus van zijn moeder ; rechterluik : De voetwassing","Meester van de von Groote-aanbidding","{""tag"": ""Laatste Avondmaal"", ""score"": 0.8525}","{""tag"": ""Judas Iskariot"", ""score"": 0.8418}","{""tag"": ""Jezus"", ""score"": 0.8412}","{""tag"": ""Judas"", ""score"": 0.8408}","{""tag"": ""Eucharistie"", ""score"": 0.833}","{""tag"": ""Christus"", ""score"": 0.8324}","{""tag"": ""Geseling van Christus"", ""score"": 0.8297}","{""tag"": ""eucharistie"", ""score"": 0.8291}","{""tag"": ""Verrijzenis van Christus"", ""score"": 0.8266}","{""tag"": ""Oud Testament"", ""score"": 0.8253}"
